[NOTICE] time[2015-05-09 10:00:30] method[GET] remoteIP[::1] requestURI[/watcher] classPath[/Users/zhangyuri/站点/app/watcher/action/Auth.php] 
[NOTICE] time[2015-05-09 10:02:06] method[GET] remoteIP[::1] requestURI[/watcher] classPath[/Users/zhangyuri/站点/app/watcher/action/Auth.php] 
[NOTICE] time[2015-05-09 10:02:35] method[GET] remoteIP[::1] requestURI[/watcher] classPath[/Users/zhangyuri/站点/app/watcher/action/Auth.php] 
[NOTICE] time[2015-05-09 10:03:22] method[GET] remoteIP[::1] requestURI[/watcher] classPath[/Users/zhangyuri/站点/app/watcher/action/Auth.php] 
[NOTICE] time[2015-05-09 10:05:10] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] 
[NOTICE] time[2015-05-09 10:05:17] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] 
[NOTICE] time[2015-05-09 10:05:27] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] 
[NOTICE] time[2015-05-09 10:05:31] method[GET] remoteIP[::1] requestURI[/watcher] auth[fail] 
[NOTICE] time[2015-05-09 10:05:33] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] 
[NOTICE] time[2015-05-09 10:23:18] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:23:34] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:24:04] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:24:17] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:24:56] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:25:19] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:26:31] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:27:46] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:28:47] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:47:04] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:47:47] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:48:03] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:52:28] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:52:34] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
